V,E,k,floyd_ms,dijkstra_ms,valid
800,63920,100,1359.95,43.2986,yes
800,63920,200,1353.44,90.4028,yes
800,63920,300,1422.74,118.071,yes
800,63920,400,1383.08,152.351,yes
800,63920,500,1272.88,213.297,yes
800,63920,600,1354.04,232.992,yes
800,63920,700,1345.69,274.947,yes
800,63920,800,1355.5,317.529,yes
800,319600,100,1368.88,104.902,yes
800,319600,200,1309.89,182.737,yes
800,319600,300,1331.45,271.625,yes
800,319600,400,1238.51,322.136,yes
800,319600,500,1257.13,416.676,yes
800,319600,600,1305.06,502.857,yes
800,319600,700,1320.95,616.916,yes
800,319600,800,1366.21,778.646,yes
800,575280,100,1229.31,134.251,yes
800,575280,200,1295,304.915,yes
800,575280,300,1369.65,429.866,yes
800,575280,400,1501.32,728.175,yes
800,575280,500,1250.65,725.161,yes
800,575280,600,1363.18,863.629,yes
800,575280,700,1211.53,924.418,yes
800,575280,800,1239.36,1075.99,yes
