V,E,k,floyd_ms,dijkstra_ms,valid
500,24950,50,244.467,10.1993,yes
500,24950,100,265.609,18.9394,yes
500,24950,150,254.23,29.3522,yes
500,24950,200,255.762,39.7917,yes
500,24950,250,269.928,49.4215,yes
500,24950,300,270.156,57.8425,yes
500,24950,350,282.648,73.2407,yes
500,24950,400,248.285,86.8905,yes
500,24950,450,253.959,98.0932,yes
500,24950,500,244.516,97.9535,yes
500,124750,50,236.36,19.7834,yes
500,124750,100,243.9,39.4139,yes
500,124750,150,248.65,60.2119,yes
500,124750,200,261.498,78.3712,yes
500,124750,250,242.755,89.7897,yes
500,124750,300,248.425,110.706,yes
500,124750,350,265.068,135.493,yes
500,124750,400,310.151,172.897,yes
500,124750,450,269.101,174.761,yes
500,124750,500,264.79,208.46,yes
500,224550,50,251.584,29.4646,yes
500,224550,100,251.796,62.3444,yes
500,224550,150,238.64,92.8566,yes
500,224550,200,263.305,115.343,yes
500,224550,250,252.295,129.406,yes
500,224550,300,253.926,173.585,yes
500,224550,350,240.271,178.866,yes
500,224550,400,265.319,219.28,yes
500,224550,450,235.518,252.861,yes
500,224550,500,245.077,261.471,yes
