V,E,k,floyd_ms,dijkstra_ms,valid
50,245,5,0.247688,0.0245278,yes
50,245,10,0.305213,0.0666484,yes
50,245,15,0.264523,0.0999789,yes
50,245,20,0.284821,0.123114,yes
50,245,25,0.25143,0.179524,yes
50,245,30,0.286666,0.233353,yes
50,245,35,0.227437,0.230221,yes
50,245,40,0.283899,0.289225,yes
50,245,45,0.29753,0.423856,yes
50,245,50,0.241901,0.343685,yes
50,1225,5,0.260795,0.03138,yes
50,1225,10,0.295038,0.0862248,yes
50,1225,15,0.261403,0.129746,yes
50,1225,20,0.275812,0.227764,yes
50,1225,25,0.309293,0.271641,yes
50,1225,30,0.381816,0.367406,yes
50,1225,35,0.349383,0.446775,yes
50,1225,40,0.365983,0.504578,yes
50,1225,45,0.367721,0.53332,yes
50,1225,50,0.416199,0.65445,yes
50,2205,5,0.339957,0.0659084,yes
50,2205,10,0.415796,0.132346,yes
50,2205,15,0.364009,0.217213,yes
50,2205,20,0.282993,0.257174,yes
50,2205,25,0.459223,0.366659,yes
50,2205,30,0.333245,0.398756,yes
50,2205,35,0.33353,0.495603,yes
50,2205,40,0.340001,0.533297,yes
50,2205,45,0.332247,0.628318,yes
50,2205,50,0.403731,0.690286,yes
